OBJECTID,TREE_ASSET_CD,ASSET_TYPE,ASSET_SUBTYPE,COMMON_NAME,HORT_CODE,GENUS,SPECIES,CULTIVAR,DBH_CM,MATURE_SIZE,RATING,APPRAISED_VALUE,TREE_CONDITION_RATING_PERC,HERITAGE_TREES,TREE_MAINTENANCE,MAINTAINED_BY,WAM_ID,COMM_CODE,LOCATION_DETAIL,SITE_ELEMENT_TYPE_DESCRIPTION,SITE_ELEMENT_MINORTYPE,HARDWARE,ACTIVE_DT,MODIFIED_DT,X_Point,Y_Point
2,CRE678,TREE,Deciduous,"OAK, MAJESTIC SKIES NORTHERN PIN",QUELBA,QUERCUS,ELLIPSOIDALIS,BAILSKIES,3,MEDIUM,80,,25,N,,CALGARY PARKS,T-51434090,CRE,1106 CENTRE ST NE,NON TITLED,B - BLOCKSIDE,N,2023-06-20,2025-08-29,-4370.57,5658401.745
21,CRE678,TREE,Deciduous,"ASH, PRAIRIE SPIRE",FRPEPR,FRAXINUS,PENNSYLVANICA,RUGBY,5,LARGE,80,565,59,N,ESTABLISH TREE,CALGARY PARKS,T-51434091,CRE,1106 CENTRE ST NE,NON TITLED,B - BLOCKSIDE,N,2023-06-20,2025-08-29,-4370.4064,5658429.332
23,CRE678,TREE,Deciduous,"ELM, PATMORE",ULAMPA,ULMUS,AMERICANA,PATMORE,5,LARGE,80,565,75,N,ESTABLISH TREE,CALGARY PARKS,T-51456957,CRE,1110 CENTRE ST NE,NON TITLED,B - BLOCKSIDE,N,2023-10-02,2025-08-29,-4370.3178,5658426.34
24,CRE678,TREE,Deciduous,"ELM, PATMORE",ULAMPA,ULMUS,AMERICANA,PATMORE,5,LARGE,80,565,75,N,ESTABLISH TREE,CALGARY PARKS,T-51457002,CRE,1110 CENTRE ST NE,NON TITLED,B - BLOCKSIDE,N,2023-09-21,2025-08-29,-4370.692,5658390.043
25,CRE678,TREE,Deciduous,"HAWTHORN, SNOWBIRD",CRMOSN,CRATAEGUS,MORDENENSIS,SNOWBIRD,4,MEDIUM,80,,25,N,ESTABLISH TREE,CALGARY PARKS,T-51456955,CRE,1110 CENTRE ST NE,NON TITLED,B - BLOCKSIDE,N,2023-09-21,2025-09-03,-4370.5222,5658408.442
26,CRE678,TREE,Deciduous,"HAWTHORN, SNOWBIRD",CRMOSN,CRATAEGUS,MORDENENSIS,SNOWBIRD,5,MEDIUM,80,565,59,N,ESTABLISH TREE,CALGARY PARKS,T-51456954,CRE,1110 CENTRE ST NE,NON TITLED,B - BLOCKSIDE,N,2023-10-02,2025-08-29,-4370.5119,5658395.794
35,CRE678,TREE,Deciduous,"ELM, AMERICAN",ULAM,ULMUS,AMERICANA,,7,LARGE,90,565,69,N,ESTABLISH TREE,CALGARY PARKS,T-51451669,CRE,1116 CENTER ST N,NON TITLED,B - BLOCKSIDE,N,2023-06-20,2025-08-29,-4370.3206,5658431.368
72,TUX678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,28,LARGE,80,2956.67,56,N,MAINTAIN TREE,CALGARY PARKS,T-32398940,TUX,CENTRE ST N,NON TITLED,B - BLOCKSIDE,N,,2025-08-29,-4373.059,5660543.146
74,CRE678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,20,LARGE,80,1720.29,63,N,MAINTAIN TREE,CALGARY PARKS,T-50783025,CRE,1216 CENTRE ST N,NON TITLED,B - BLOCKSIDE,N,2010-06-14,2025-08-29,-4373.678,5658539.127
84,CRE678,TREE,Deciduous,"ASH, GREEN",FRPE,FRAXINUS,PENNSYLVANICA,,16,LARGE,80,1100.97,63,N,MAINTAIN TREE,CALGARY PARKS,T-51068949,CRE,1216 CENTRE ST N,NON TITLED,B - BLOCKSIDE,N,2013-07-15,2025-08-29,-4373.6411,5658533.054
